2026-02-13 04:46:24 +00:00: 🚀 松乃木飯店 受付システム起動
2026-02-13 04:46:24 +00:00: 📡 サーバー: http://localhost:3000
2026-02-13 04:46:24 +00:00: 👥 一般受付: http://localhost:3000
2026-02-13 04:46:24 +00:00: 🔧 管理画面: http://localhost:3000/admin
2026-02-13 04:46:24 +00:00: 📊 待ち組数: 0組
2026-02-13 04:46:24 +00:00: 📈 本日累計: 0組
2026-02-13 04:46:27 +00:00: 🔌 クライアント接続: C6FW9jB0595RowF_AAAB
2026-02-13 04:48:08 +00:00: 🔌 クライアント接続: d2rVxOjYJ9626fL6AAAD
2026-02-13 04:48:28 +00:00: 🔌 クライアント切断: C6FW9jB0595RowF_AAAB
2026-02-13 04:53:35 +00:00: 🔌 クライアント接続: sNcDTusRjb_D_ferAAAF
2026-02-13 04:53:55 +00:00: 🔌 クライアント接続: QpnJf2flFFmUNF9HAAAH
2026-02-13 04:54:03 +00:00: ✅ 新規受付: S-1 (大人6/子0/幼0)
2026-02-13 05:00:09 +00:00: ✅ 新規受付: S-2 (大人6/子0/幼0)
2026-02-13 05:07:12 +00:00: 🔌 クライアント接続: 61nvvDoEwi17z7qPAAAJ
2026-02-13 05:07:49 +00:00: 🔌 クライアント切断: d2rVxOjYJ9626fL6AAAD
2026-02-13 05:14:17 +00:00: 🔌 クライアント接続: DiiYSRN9WMFkGUXFAAAL
2026-02-13 05:19:19 +00:00: 🔌 クライアント切断: 61nvvDoEwi17z7qPAAAJ
2026-02-13 05:19:26 +00:00: 🔌 クライアント切断: QpnJf2flFFmUNF9HAAAH
2026-02-13 05:19:29 +00:00: 🔌 クライアント接続: CbPqnYfeSmaCdUd0AAAN
2026-02-13 05:19:30 +00:00: 🔌 クライアント切断: sNcDTusRjb_D_ferAAAF
2026-02-13 05:19:32 +00:00: ✅ 新規受付: W-3 (大人2/子0/幼0)
2026-02-13 05:19:39 +00:00: 🔌 クライアント切断: DiiYSRN9WMFkGUXFAAAL
2026-02-13 05:19:46 +00:00: 🔌 クライアント切断: CbPqnYfeSmaCdUd0AAAN
2026-02-13 05:19:47 +00:00: 🔌 クライアント接続: VVyQTWD4vOY1Cw25AAAP
2026-02-13 05:19:52 +00:00: 🔌 クライアント接続: OfAgWIZk6TKVpwYCAAAU
2026-02-13 05:19:52 +00:00: 🔌 クライアント接続: 2nvlXPEtJNFydd-AAAAV
2026-02-13 05:19:54 +00:00: 🔌 クライアント接続: DugFU0JJAChqjQ5yAAAX
2026-02-13 05:23:57 +00:00: 🔌 クライアント接続: ZbKKltwroeT4CKO5AAAZ
2026-02-13 05:24:02 +00:00: 🔌 クライアント切断: ZbKKltwroeT4CKO5AAAZ
2026-02-13 05:24:05 +00:00: 🔌 クライアント接続: xLrKU_1ufRn_uZ7CAAAb
2026-02-13 05:24:15 +00:00: ✅ 案内完了: S-1
2026-02-13 05:24:17 +00:00: ✅ 案内完了: S-2
2026-02-13 05:24:19 +00:00: ✅ 案内完了: W-3
2026-02-13 05:24:30 +00:00: ▶️ 受付再開
2026-02-13 05:24:33 +00:00: 🔌 クライアント切断: xLrKU_1ufRn_uZ7CAAAb
2026-02-13 05:24:36 +00:00: 🔌 クライアント接続: w7HvUAYV6sLMeB6rAAAd
2026-02-13 05:24:39 +00:00: ✅ 新規受付: S-4 (大人2/子0/幼0)
2026-02-13 05:24:53 +00:00: ✅ 新規受付: S-5 (大人2/子0/幼0)
2026-02-13 05:25:02 +00:00: ✅ 新規受付: S-6 (大人6/子0/幼0)
2026-02-13 05:27:07 +00:00: 🔌 クライアント接続: 3wuV7war1cqFhfXPAAAf
2026-02-13 05:27:36 +00:00: 🔌 クライアント切断: 3wuV7war1cqFhfXPAAAf
2026-02-13 05:27:37 +00:00: 🔌 クライアント接続: i5YmkJZOTfcT2ZauAAAh
2026-02-13 05:28:12 +00:00: 🔌 クライアント切断: i5YmkJZOTfcT2ZauAAAh
2026-02-13 05:28:13 +00:00: 🔌 クライアント接続: lf-qpkONyotMmBeYAAAj
2026-02-13 05:29:20 +00:00: 🔌 クライアント切断: lf-qpkONyotMmBeYAAAj
2026-02-13 05:29:32 +00:00: 🔌 クライアント接続: Hny-EmEV1imDnaE5AAAl
2026-02-13 05:30:02 +00:00: 🔌 クライアント接続: CaWW9HaGIqT37tFCAAAn
2026-02-13 05:30:02 +00:00: 🔌 クライアント接続: SgW8x5krRfnBM7QYAAAp
2026-02-13 05:30:16 +00:00: 🔌 クライアント切断: SgW8x5krRfnBM7QYAAAp
2026-02-13 05:30:20 +00:00: 🔌 クライアント切断: Hny-EmEV1imDnaE5AAAl
2026-02-13 05:30:26 +00:00: 🔌 クライアント接続: 0rnnJ5Lo0bxZMEIVAAAr
2026-02-13 05:30:44 +00:00: 🔌 クライアント切断: 0rnnJ5Lo0bxZMEIVAAAr
2026-02-13 05:30:48 +00:00: 🔌 クライアント切断: CaWW9HaGIqT37tFCAAAn
2026-02-13 05:30:50 +00:00: 🔌 クライアント接続: Qorte6yeTMzuzdTZAAAt
2026-02-13 05:39:38 +00:00: 🔌 クライアント切断: 2nvlXPEtJNFydd-AAAAV
2026-02-13 05:44:44 +00:00: 🔌 クライアント切断: OfAgWIZk6TKVpwYCAAAU
2026-02-13 05:50:25 +00:00: 🔌 クライアント接続: k2_ZHhd83kpiF5H8AAAv
2026-02-13 05:50:32 +00:00: 🔌 クライアント切断: k2_ZHhd83kpiF5H8AAAv
2026-02-13 05:53:59 +00:00: 🔌 クライアント接続: rfpavPftgAFl6Aa2AAAx
2026-02-13 05:54:06 +00:00: 🔌 クライアント切断: rfpavPftgAFl6Aa2AAAx
2026-02-13 05:55:05 +00:00: 🔌 クライアント切断: DugFU0JJAChqjQ5yAAAX
2026-02-13 05:58:00 +00:00: 🔌 クライアント接続: 7tzZ_Jx_G6RfjOOYAAA0
2026-02-13 05:58:43 +00:00: 🔌 クライアント切断: 7tzZ_Jx_G6RfjOOYAAA0
2026-02-13 06:19:15 +00:00: 🔌 クライアント接続: AfGIafC7AvEYXP8JAAA2
2026-02-13 06:35:08 +00:00: 🔌 クライアント切断: AfGIafC7AvEYXP8JAAA2
2026-02-13 06:38:25 +00:00: 🔌 クライアント接続: _JiSSEH3qGqUrM-fAAA4
2026-02-13 06:38:30 +00:00: 🔌 クライアント切断: _JiSSEH3qGqUrM-fAAA4
2026-02-13 06:38:33 +00:00: 🔌 クライアント接続: uCJzEek-3PCOuPdVAAA6
2026-02-13 06:38:40 +00:00: 🔌 クライアント接続: AJQA84GvVb9jgwnQAAA8
2026-02-13 06:38:55 +00:00: ✅ 案内完了: S-4
2026-02-13 06:38:58 +00:00: ✅ 案内完了: S-5
2026-02-13 06:39:00 +00:00: ✅ 案内完了: S-6
2026-02-13 06:48:39 +00:00: 🔌 クライアント切断: uCJzEek-3PCOuPdVAAA6
2026-02-13 06:48:39 +00:00: 🔌 クライアント切断: AJQA84GvVb9jgwnQAAA8
2026-02-13 06:48:59 +00:00: 🔌 クライアント切断: VVyQTWD4vOY1Cw25AAAP
2026-02-13 07:21:10 +00:00: 🔌 クライアント切断: Qorte6yeTMzuzdTZAAAt
2026-02-13 07:21:10 +00:00: 🔌 クライアント接続: JJh0oxwdyZtGpo9dAAA-
2026-02-13 07:21:55 +00:00: 🔌 クライアント切断: JJh0oxwdyZtGpo9dAAA-
2026-02-13 07:35:07 +00:00: 🔌 クライアント接続: U7v9m-RNj4qQ8Ot1AABA
2026-02-13 07:35:09 +00:00: ✅ 新規受付: W-7 (大人2/子0/幼0)
2026-02-13 07:35:22 +00:00: 🔌 クライアント切断: U7v9m-RNj4qQ8Ot1AABA
2026-02-13 07:35:33 +00:00: 🔌 クライアント接続: Iy1FUc9V47J_ioe1AABC
2026-02-13 07:35:35 +00:00: ✅ 新規受付: S-8 (大人2/子0/幼0)
2026-02-13 07:35:46 +00:00: ✅ 新規受付: S-9 (大人2/子0/幼0)
2026-02-13 07:35:54 +00:00: ✅ 新規受付: S-10 (大人2/子0/幼0)
2026-02-13 07:36:10 +00:00: 🔌 クライアント切断: Iy1FUc9V47J_ioe1AABC
2026-02-13 07:36:16 +00:00: 🔌 クライアント接続: ThrUFVDSCxgw-rHTAABE
2026-02-13 07:36:37 +00:00: ✅ 案内完了: S-10
2026-02-13 07:36:39 +00:00: ✅ 案内完了: S-8
2026-02-13 07:36:40 +00:00: ✅ 案内完了: S-9
2026-02-13 07:36:43 +00:00: ✅ 案内完了: W-7
2026-02-13 07:36:56 +00:00: 🔌 クライアント切断: ThrUFVDSCxgw-rHTAABE
2026-02-13 07:37:42 +00:00: 🔌 クライアント接続: UjQYRkbCy3CaL3AUAABG
2026-02-13 07:38:57 +00:00: 🔌 クライアント接続: gZE_yzopHw_KBb4mAABI
2026-02-13 07:39:17 +00:00: 🔌 クライアント切断: UjQYRkbCy3CaL3AUAABG
2026-02-13 07:39:23 +00:00: 🔌 クライアント接続: 6eZDeEcSS6ORh4jCAABK
2026-02-13 07:39:25 +00:00: ✅ 新規受付: W-11 (大人2/子0/幼0)
2026-02-13 07:39:42 +00:00: 🔌 クライアント切断: 6eZDeEcSS6ORh4jCAABK
2026-02-13 07:39:51 +00:00: 🔌 クライアント接続: 57U0BGHe_8SEKbznAABM
2026-02-13 07:39:59 +00:00: ✅ 新規受付: S-12 (大人2/子0/幼0)
2026-02-13 07:40:07 +00:00: 🔌 クライアント切断: 57U0BGHe_8SEKbznAABM
2026-02-13 07:40:07 +00:00: 🔌 クライアント切断: gZE_yzopHw_KBb4mAABI
2026-02-13 07:40:09 +00:00: 🔌 クライアント接続: ZK0EplxcjsSoM5gOAABO
2026-02-13 07:40:10 +00:00: 🔌 クライアント接続: 5psDRRTrZJwar_b2AABQ
2026-02-13 07:40:31 +00:00: ✅ 案内完了: W-11
2026-02-13 07:40:33 +00:00: ✅ 案内完了: S-12
2026-02-13 07:40:39 +00:00: 🔌 クライアント切断: ZK0EplxcjsSoM5gOAABO
2026-02-13 07:41:45 +00:00: 🔌 クライアント切断: 5psDRRTrZJwar_b2AABQ
2026-02-13 08:02:42 +00:00: 🔌 クライアント切断: w7HvUAYV6sLMeB6rAAAd
2026-02-13 08:03:34 +00:00: 🔌 クライアント接続: BaL0S_2M43Vy64eBAABS
2026-02-13 08:03:50 +00:00: 🔌 クライアント切断: BaL0S_2M43Vy64eBAABS
2026-02-13 08:06:59 +00:00: 🔌 クライアント接続: SbuvJFAvveFQ7QpLAABU
2026-02-13 08:09:10 +00:00: 🔌 クライアント接続: kPvpEwOUlvucf_JXAABW
2026-02-13 08:09:29 +00:00: 🔌 クライアント接続: 9VPeEwItMdG6zTHfAABY
2026-02-13 08:09:50 +00:00: 🔌 クライアント切断: SbuvJFAvveFQ7QpLAABU
2026-02-13 08:10:09 +00:00: 🔌 クライアント切断: 9VPeEwItMdG6zTHfAABY
2026-02-13 08:10:11 +00:00: 🔌 クライアント接続: IAAZA7SrN6MinN01AABa
2026-02-13 08:10:12 +00:00: 🔌 クライアント接続: W6KOUsIu3mV0rhVXAABc
2026-02-13 08:10:18 +00:00: 🔌 クライアント切断: W6KOUsIu3mV0rhVXAABc
2026-02-13 08:10:33 +00:00: 🔌 クライアント接続: Mz24fnXGjPi4yZ_qAABe
2026-02-13 08:10:56 +00:00: 🔌 クライアント切断: IAAZA7SrN6MinN01AABa
2026-02-13 08:11:09 +00:00: 🔌 クライアント接続: 2tei7IEPlVeE-jdMAABg
2026-02-13 08:11:42 +00:00: 🔌 クライアント切断: Mz24fnXGjPi4yZ_qAABe
2026-02-13 08:13:08 +00:00: 🔌 クライアント接続: Ig4rtW4TjLLhB73yAABi
2026-02-13 08:13:12 +00:00: 🔌 クライアント切断: Ig4rtW4TjLLhB73yAABi
2026-02-13 08:13:15 +00:00: 🔌 クライアント接続: r3pCZTUZWUaR5wasAABk
2026-02-13 08:13:43 +00:00: 🔌 クライアント切断: r3pCZTUZWUaR5wasAABk
2026-02-13 08:13:43 +00:00: 🔌 クライアント切断: 2tei7IEPlVeE-jdMAABg
2026-02-13 08:15:03 +00:00: 🔌 クライアント接続: tKY1s4v1PSn931JrAABm
2026-02-13 08:15:07 +00:00: 🔌 クライアント切断: kPvpEwOUlvucf_JXAABW
2026-02-13 08:15:07 +00:00: 🔌 クライアント切断: tKY1s4v1PSn931JrAABm
2026-02-13 08:15:14 +00:00: 🔌 クライアント接続: l3i-DH3JcmfCBUi-AABo
2026-02-13 08:15:34 +00:00: 🔌 クライアント接続: WobsaLF57pYcF8RMAABq
2026-02-13 08:15:59 +00:00: 🔌 クライアント切断: l3i-DH3JcmfCBUi-AABo
2026-02-13 08:16:14 +00:00: ✅ 新規受付: W-13 (大人2/子0/幼0)
2026-02-13 08:16:54 +00:00: 🔌 クライアント切断: WobsaLF57pYcF8RMAABq
2026-02-13 08:16:54 +00:00: 🔌 クライアント接続: LjZhrC8hF0FkBjTxAABs
2026-02-13 08:16:55 +00:00: 🔌 クライアント切断: LjZhrC8hF0FkBjTxAABs
2026-02-13 08:16:56 +00:00: 🔌 クライアント接続: nXE_TE1n7lxHkPvPAABu
2026-02-13 08:17:11 +00:00: ✅ 案内完了: W-13
2026-02-13 08:17:41 +00:00: 🔌 クライアント切断: nXE_TE1n7lxHkPvPAABu
2026-02-13 08:25:25 +00:00: 🔌 クライアント接続: VkVA9OiFErgLAyNvAABw
2026-02-13 08:27:26 +00:00: 🔌 クライアント切断: VkVA9OiFErgLAyNvAABw
2026-02-13 08:28:18 +00:00: 🔌 クライアント接続: cD-lu11ozIhUfiY5AABy
2026-02-13 08:28:39 +00:00: 🔌 クライアント切断: cD-lu11ozIhUfiY5AABy
2026-02-13 08:28:46 +00:00: 🔌 クライアント接続: F7-9S890KMvWr2hCAAB0
2026-02-13 08:28:47 +00:00: 🔌 クライアント接続: B_d8l5IvNuCCFtvMAAB2
2026-02-13 08:29:14 +00:00: 🔌 クライアント切断: F7-9S890KMvWr2hCAAB0
2026-02-13 08:29:14 +00:00: 🔌 クライアント切断: B_d8l5IvNuCCFtvMAAB2
2026-02-13 08:29:39 +00:00: 🔌 クライアント接続: 3TIG7WnIGussTBcKAAB4
2026-02-13 08:31:07 +00:00: 🔌 クライアント切断: 3TIG7WnIGussTBcKAAB4
2026-02-13 08:31:08 +00:00: 🔌 クライアント接続: gctstSH0XxL8ZVM1AAB6
2026-02-13 08:31:47 +00:00: 🔌 クライアント接続: rpGMwqRD__LFVQ_GAAB8
2026-02-13 08:32:07 +00:00: 🔌 クライアント接続: eOUqIi1EAPUjE0rJAAB-
2026-02-13 08:32:16 +00:00: ✅ 新規受付: W-14 (大人6/子0/幼0)
2026-02-13 08:32:30 +00:00: ✅ 案内完了: W-14
2026-02-13 08:32:47 +00:00: 🔌 クライアント接続: 0qyEacMhWMlOP3xkAACA
2026-02-13 08:32:49 +00:00: 🔌 クライアント接続: uyFPU6y3Mfz5QXS4AACC
2026-02-13 08:33:00 +00:00: 📊 統計をリセットしました
2026-02-13 08:33:21 +00:00: 🔌 クライアント切断: rpGMwqRD__LFVQ_GAAB8
2026-02-13 08:33:32 +00:00: 🔌 クライアント切断: 0qyEacMhWMlOP3xkAACA
2026-02-13 08:34:36 +00:00: 🔌 クライアント切断: eOUqIi1EAPUjE0rJAAB-
2026-02-13 08:34:55 +00:00: 🔌 クライアント接続: 3qpxWi9GzhlNLKhTAACE
2026-02-13 08:35:05 +00:00: 🔌 クライアント切断: 3qpxWi9GzhlNLKhTAACE
2026-02-13 08:35:31 +00:00: ▶️ 受付再開
2026-02-13 08:35:38 +00:00: ▶️ 受付再開
2026-02-13 08:38:07 +00:00: 🔌 クライアント接続: SQz4JNEnzqtUd9LUAACG
2026-02-13 08:38:18 +00:00: 🔌 クライアント接続: 5QpiBVXteNg25p4qAACI
2026-02-13 08:38:37 +00:00: 🔌 クライアント接続: Un1LhmMO8g_tPQ_2AACK
2026-02-13 08:39:19 +00:00: 🔌 クライアント切断: 5QpiBVXteNg25p4qAACI
2026-02-13 08:39:19 +00:00: 🔌 クライアント接続: Ngd2ncAp3Np-8vc1AACM
2026-02-13 08:39:23 +00:00: 🔌 クライアント接続: _HYSmxQlj0ObfRy7AACO
2026-02-13 08:39:29 +00:00: 🔌 クライアント接続: iNRqCKcKJox2uaYXAACQ
2026-02-13 08:39:30 +00:00: 🔌 クライアント接続: 31Pldp29fvnx3IZuAACS
2026-02-13 08:39:39 +00:00: 🔌 クライアント切断: SQz4JNEnzqtUd9LUAACG
2026-02-13 08:39:39 +00:00: 🔌 クライアント切断: Un1LhmMO8g_tPQ_2AACK
2026-02-13 08:39:43 +00:00: 🔌 クライアント切断: gctstSH0XxL8ZVM1AAB6
2026-02-13 08:39:44 +00:00: 🔌 クライアント切断: uyFPU6y3Mfz5QXS4AACC
2026-02-13 08:40:49 +00:00: 🔌 クライアント切断: Ngd2ncAp3Np-8vc1AACM
2026-02-13 08:40:49 +00:00: 🔌 クライアント切断: _HYSmxQlj0ObfRy7AACO
2026-02-13 08:44:53 +00:00: 🔌 クライアント接続: iEUp4jkgPuDEDBExAACU
2026-02-13 08:44:54 +00:00: 🔌 クライアント接続: cL6G1vvtqIksoM2xAACW
2026-02-13 08:45:19 +00:00: 🔌 クライアント切断: iNRqCKcKJox2uaYXAACQ
2026-02-13 08:45:21 +00:00: 🔌 クライアント切断: 31Pldp29fvnx3IZuAACS
2026-02-13 08:48:19 +00:00: ⏸️ 受付停止
2026-02-13 08:48:22 +00:00: 🔌 クライアント接続: lJgLi7-xjkCHu213AACY
2026-02-13 08:48:30 +00:00: ▶️ 受付再開
2026-02-13 08:48:38 +00:00: 🔌 クライアント切断: lJgLi7-xjkCHu213AACY
2026-02-13 08:49:00 +00:00: 🔌 クライアント接続: SMtLtCcq5msnlx_1AACb
2026-02-13 08:49:02 +00:00: 🔌 クライアント接続: vO0oH64SipUND7rIAACd
2026-02-13 08:49:10 +00:00: 🔌 クライアント切断: vO0oH64SipUND7rIAACd
2026-02-13 08:49:10 +00:00: 🔌 クライアント切断: SMtLtCcq5msnlx_1AACb
2026-02-13 08:49:44 +00:00: 🔌 クライアント接続: 2OIb-XP3eCBAghmlAACh
2026-02-13 08:49:51 +00:00: 🔌 クライアント切断: 2OIb-XP3eCBAghmlAACh
2026-02-13 08:50:19 +00:00: 🔌 クライアント接続: RLYQCErW9DfOetZ_AACj
2026-02-13 08:50:21 +00:00: 🔌 クライアント接続: IYt3iH5F3zIx5nH_AACl
2026-02-13 08:50:38 +00:00: 🔌 クライアント切断: iEUp4jkgPuDEDBExAACU
2026-02-13 08:50:38 +00:00: 🔌 クライアント切断: cL6G1vvtqIksoM2xAACW
2026-02-13 08:51:41 +00:00: 🔌 クライアント接続: iAGnlkG5rXwxxQC5AACn
2026-02-13 08:51:41 +00:00: 🔌 クライアント接続: Q5W8atkPQ2dAFXiVAACp
2026-02-13 08:51:43 +00:00: 🔌 クライアント接続: kdSLkWmwdZWGfbGDAACr
2026-02-13 08:51:45 +00:00: 🔌 クライアント切断: Q5W8atkPQ2dAFXiVAACp
2026-02-13 08:51:46 +00:00: 🔌 クライアント切断: kdSLkWmwdZWGfbGDAACr
2026-02-13 08:52:25 +00:00: 🔌 クライアント切断: iAGnlkG5rXwxxQC5AACn
2026-02-13 08:54:24 +00:00: 🔌 クライアント切断: RLYQCErW9DfOetZ_AACj
2026-02-13 08:54:24 +00:00: 🔌 クライアント接続: x3KRJ2pMqpcYcpDjAACt
2026-02-13 08:54:33 +00:00: 🔌 クライアント切断: x3KRJ2pMqpcYcpDjAACt
2026-02-13 08:54:46 +00:00: 🔌 クライアント接続: BBs0BtEN1XJMHjMtAACv
2026-02-13 08:55:47 +00:00: 🔌 クライアント接続: Ti_MH8l8R8ri6R1zAACx
2026-02-13 08:56:06 +00:00: 🔌 クライアント切断: IYt3iH5F3zIx5nH_AACl
2026-02-13 08:56:17 +00:00: 🔌 クライアント切断: BBs0BtEN1XJMHjMtAACv
2026-02-13 08:57:17 +00:00: 🔌 クライアント接続: 1qxwYS7zCBmIujrkAACz
